Cluster,BALANCE,PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,count,Label,Recommended Action
0,304.07,55.69,104.29,0.5,0.1,28.55,1517.01,259.62,0.15,704,low-activity,Basic engagement campaigns / reactivation offers
1,1204.2,906.55,104.76,0.52,0.1,29.05,3462.26,1026.85,0.6,589,disciplined full-payer,"Loyalty offers / low credit risk, good candidate for limit increases"
2,2505.75,159.39,2024.56,0.49,0.59,29.27,4969.69,2121.59,0.15,313,cash-advance heavy,Financial-product education / targeted offers to reduce cash-advance reliance
3,3994.46,3506.36,99.28,0.51,0.11,30.64,8967.73,3328.35,0.15,394,high-value,Premium services / rewards / retention priority
